[INFO] [1790222737.569837449] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790222737.571373001] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790222839.416636825] [sage_energy_monitor]: ENERGY | remaining=93.0 % | voltage=16.07 V | drain_rate=0.056 %/s | home_distance=5.9 m | return_time=10 s | return_cost=0.5 % | margin_after_return=72.5 %
[INFO] [1790222840.416254111] [sage_energy_monitor]: ENERGY | remaining=93.0 % | voltage=16.07 V | drain_rate=0.056 %/s | home_distance=5.8 m | return_time=10 s | return_cost=0.5 % | margin_after_return=72.4 %
[INFO] [1790222841.416413899] [sage_energy_monitor]: ENERGY | remaining=92.9 % | voltage=16.07 V | drain_rate=0.056 %/s | home_distance=5.8 m | return_time=10 s | return_cost=0.5 % | margin_after_return=72.4 %
[INFO] [1790222842.415541653] [sage_energy_monitor]: ENERGY | remaining=92.8 % | voltage=16.07 V | drain_rate=0.056 %/s | home_distance=5.9 m | return_time=10 s | return_cost=0.5 % | margin_after_return=72.3 %
[INFO] [1790222843.417308270] [sage_energy_monitor]: ENERGY | remaining=92.8 % | voltage=16.07 V | drain_rate=0.055 %/s | home_distance=5.9 m | return_time=10 s | return_cost=0.6 % | margin_after_return=72.2 %
[INFO] [1790222844.425667713] [sage_energy_monitor]: ENERGY | remaining=92.7 % | voltage=16.07 V | drain_rate=0.055 %/s | home_distance=5.9 m | return_time=10 s | return_cost=0.6 % | margin_after_return=72.2 %
[INFO] [1790222845.425843826] [sage_energy_monitor]: ENERGY | remaining=92.7 % | voltage=16.07 V | drain_rate=0.055 %/s | home_distance=5.9 m | return_time=10 s | return_cost=0.5 % | margin_after_return=72.1 %
[INFO] [1790222846.427127311] [sage_energy_monitor]: ENERGY | remaining=92.6 % | voltage=16.07 V | drain_rate=0.055 %/s | home_distance=6.0 m | return_time=10 s | return_cost=0.6 % | margin_after_return=72.1 %
[INFO] [1790222847.414941660] [sage_energy_monitor]: ENERGY | remaining=92.6 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=6.1 m | return_time=10 s | return_cost=0.6 % | margin_after_return=72.0 %
[INFO] [1790222848.416685156] [sage_energy_monitor]: ENERGY | remaining=92.5 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=6.4 m | return_time=10 s | return_cost=0.6 % | margin_after_return=71.9 %
[INFO] [1790222849.415526965] [sage_energy_monitor]: ENERGY | remaining=92.5 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=7.2 m | return_time=11 s | return_cost=0.6 % | margin_after_return=71.8 %
[INFO] [1790222850.415280111] [sage_energy_monitor]: ENERGY | remaining=92.4 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=8.0 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.7 %
[INFO] [1790222851.414690122] [sage_energy_monitor]: ENERGY | remaining=92.4 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=8.5 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.7 %
[INFO] [1790222852.423202794] [sage_energy_monitor]: ENERGY | remaining=92.3 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=8.6 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.6 %
[INFO] [1790222853.415341553] [sage_energy_monitor]: ENERGY | remaining=92.2 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=8.5 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.6 %
[INFO] [1790222854.418320409] [sage_energy_monitor]: ENERGY | remaining=92.2 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=8.5 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.5 %
[INFO] [1790222855.415548761] [sage_energy_monitor]: ENERGY | remaining=92.1 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=8.5 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.4 %
[INFO] [1790222856.415190874] [sage_energy_monitor]: ENERGY | remaining=92.1 % | voltage=16.06 V | drain_rate=0.055 %/s | home_distance=8.5 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.4 %
[INFO] [1790222857.425533433] [sage_energy_monitor]: ENERGY | remaining=92.0 % | voltage=16.05 V | drain_rate=0.055 %/s | home_distance=8.5 m | return_time=13 s | return_cost=0.7 % | margin_after_return=71.3 %
[INFO] [1790222858.415023463] [sage_energy_monitor]: ENERGY | remaining=92.0 % | voltage=16.05 V | drain_rate=0.055 %/s | home_distance=8.5 m | return_time=13 s | return_cost=0.7 % | margin_after_return=71.3 %
[INFO] [1790222859.415594476] [sage_energy_monitor]: ENERGY | remaining=91.9 % | voltage=16.05 V | drain_rate=0.055 %/s | home_distance=8.6 m | return_time=13 s | return_cost=0.7 % | margin_after_return=71.2 %
[INFO] [1790222860.415123080] [sage_energy_monitor]: ENERGY | remaining=91.8 % | voltage=16.05 V | drain_rate=0.055 %/s | home_distance=8.3 m | return_time=12 s | return_cost=0.7 % | margin_after_return=71.2 %
[INFO] [1790222861.419807435] [sage_energy_monitor]: ENERGY | remaining=91.8 % | voltage=16.05 V | drain_rate=0.055 %/s | home_distance=7.4 m | return_time=12 s | return_cost=0.6 % | margin_after_return=71.2 %
[INFO] [1790222862.416775854] [sage_energy_monitor]: ENERGY | remaining=91.7 % | voltage=16.05 V | drain_rate=0.056 %/s | home_distance=6.6 m | return_time=11 s | return_cost=0.6 % | margin_after_return=71.1 %
[INFO] [1790222863.416300380] [sage_energy_monitor]: ENERGY | remaining=91.7 % | voltage=16.05 V | drain_rate=0.055 %/s | home_distance=6.2 m | return_time=10 s | return_cost=0.6 % | margin_after_return=71.1 %
