[INFO] [1790296040.869854559] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790296040.870654891] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790296040.871488582] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790296040.872419557] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790296040.873262542] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790296057.047546933] [sage_target_localizer]: Person 3D | pixel=(73.0,781.4) | position=(3.49,3.42,0.00) | range=4.90 m
[INFO] [1790296057.143640107] [sage_target_localizer]: Person 3D | pixel=(73.0,781.4) | position=(3.49,3.42,0.00) | range=4.90 m
[INFO] [1790296057.246063395] [sage_target_localizer]: Person 3D | pixel=(73.0,781.4) | position=(3.49,3.42,0.00) | range=4.90 m
[INFO] [1790296057.342952325] [sage_target_localizer]: Person 3D | pixel=(71.6,781.6) | position=(3.48,3.41,0.00) | range=4.90 m
[INFO] [1790296057.446781825] [sage_target_localizer]: Person 3D | pixel=(71.6,781.6) | position=(3.48,3.41,0.00) | range=4.90 m
[INFO] [1790296057.549524616] [sage_target_localizer]: Person 3D | pixel=(69.0,787.4) | position=(3.40,3.38,0.00) | range=4.84 m
[INFO] [1790296057.643106692] [sage_target_localizer]: Person 3D | pixel=(67.2,790.4) | position=(3.37,3.37,0.00) | range=4.82 m
[INFO] [1790296057.742460513] [sage_target_localizer]: Person 3D | pixel=(67.2,790.4) | position=(3.37,3.37,0.00) | range=4.82 m
[INFO] [1790296057.848666552] [sage_target_localizer]: Person 3D | pixel=(66.3,796.0) | position=(3.30,3.35,0.00) | range=4.77 m
[INFO] [1790296057.941944746] [sage_target_localizer]: Person 3D | pixel=(66.3,796.0) | position=(3.30,3.35,0.00) | range=4.77 m
[INFO] [1790296058.050818163] [sage_target_localizer]: Person 3D | pixel=(66.3,796.0) | position=(3.30,3.35,0.00) | range=4.77 m
[INFO] [1790296058.142257758] [sage_target_localizer]: Person 3D | pixel=(63.3,793.0) | position=(3.34,3.44,0.00) | range=4.86 m
[INFO] [1790296058.247692192] [sage_target_localizer]: Person 3D | pixel=(63.3,793.0) | position=(3.34,3.44,0.00) | range=4.86 m
[INFO] [1790296058.344280977] [sage_target_localizer]: Person 3D | pixel=(63.3,793.0) | position=(3.34,3.44,0.00) | range=4.86 m
[INFO] [1790296058.445605956] [sage_target_localizer]: Person 3D | pixel=(63.3,793.0) | position=(3.34,3.44,0.00) | range=4.86 m
[INFO] [1790296058.553256135] [sage_target_localizer]: Person 3D | pixel=(66.9,814.6) | position=(3.02,3.44,0.00) | range=4.63 m
[INFO] [1790296058.651723334] [sage_target_localizer]: Person 3D | pixel=(66.9,814.6) | position=(3.02,3.44,0.00) | range=4.63 m
[INFO] [1790296058.745865042] [sage_target_localizer]: Person 3D | pixel=(66.9,814.6) | position=(3.02,3.44,0.00) | range=4.63 m
[INFO] [1790296058.843728738] [sage_target_localizer]: Person 3D | pixel=(71.1,833.1) | position=(2.82,3.33,0.00) | range=4.41 m
[INFO] [1790296058.945695197] [sage_target_localizer]: Person 3D | pixel=(71.1,833.1) | position=(2.82,3.33,0.00) | range=4.41 m
[INFO] [1790296059.046190449] [sage_target_localizer]: Person 3D | pixel=(79.6,839.6) | position=(2.75,3.35,0.00) | range=4.35 m
[INFO] [1790296059.145588043] [sage_target_localizer]: Person 3D | pixel=(79.6,839.6) | position=(2.75,3.35,0.00) | range=4.35 m
[INFO] [1790296059.249120236] [sage_target_localizer]: Person 3D | pixel=(79.6,839.6) | position=(2.75,3.35,0.00) | range=4.35 m
[INFO] [1790296059.348201828] [sage_target_localizer]: Person 3D | pixel=(79.6,839.6) | position=(2.75,3.35,0.00) | range=4.35 m
[INFO] [1790296059.446168322] [sage_target_localizer]: Person 3D | pixel=(79.6,839.6) | position=(2.75,3.35,0.00) | range=4.35 m
[INFO] [1790296059.543482384] [sage_target_localizer]: Person 3D | pixel=(79.6,839.6) | position=(2.75,3.35,0.00) | range=4.35 m
