[INFO] [1790301484.330497725] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790301484.331470779] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790301484.332447188] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790301484.333352515] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790301484.334166134] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790301484.334941319] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790301484.335670969] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790301493.454329481] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(1.73, 3.84, 0.00) | state=STATIONARY
[INFO] [1790301497.255710409] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.09, 3.71, 0.00) | velocity=(0.07, -0.08, 0.00) m/s | speed=0.11 m/s | net=0.15 m | straightness=0.79 | direction=0.00 | state=MOVING | detections=37
[INFO] [1790301497.345885067] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.09, 3.70, 0.00) | velocity=(0.07, -0.09, 0.00) m/s | speed=0.11 m/s | net=0.15 m | straightness=0.82 | direction=0.00 | state=MOVING | detections=38
[INFO] [1790301497.445683697] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.10, 3.70, 0.00) | velocity=(0.07, -0.07, 0.00) m/s | speed=0.10 m/s | net=0.12 m | straightness=0.83 | direction=0.00 | state=MOVING | detections=39
[INFO] [1790301497.548096597] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.12, 3.68, 0.00) | smoothed=(3.10, 3.69, 0.00) | velocity=(0.07, -0.06, 0.00) m/s | speed=0.09 m/s | net=0.10 m | straightness=0.96 | direction=0.00 | state=MOVING | detections=40
[INFO] [1790301497.643338444] [sage_semantic_world_model]: Target 1 confirmed STATIONARY | net=0.09 m | avg_speed=0.10 m/s
[INFO] [1790301497.645377910] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.15, 3.67, 0.00) | smoothed=(3.12, 3.69, 0.00) | velocity=(0.07, -0.06, 0.00) m/s | speed=0.09 m/s | net=0.09 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=41
[INFO] [1790301497.753011936] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.15, 3.67, 0.00) | smoothed=(3.12, 3.68, 0.00) | velocity=(0.07, -0.05, 0.00) m/s | speed=0.09 m/s | net=0.09 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=42
[INFO] [1790301497.854647197] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.15, 3.67, 0.00) | smoothed=(3.13, 3.68, 0.00) | velocity=(0.07, -0.04, 0.00) m/s | speed=0.08 m/s | net=0.09 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=43
[INFO] [1790301497.945000917] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.15, 3.65, 0.00) | smoothed=(3.13, 3.67, 0.00) | velocity=(0.08, -0.05, 0.00) m/s | speed=0.09 m/s | net=0.08 m | straightness=0.97 | direction=0.00 | state=STATIONARY | detections=44
[INFO] [1790301498.048565506] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.15, 3.65, 0.00) | smoothed=(3.14, 3.66, 0.00) | velocity=(0.06, -0.05, 0.00) m/s | speed=0.08 m/s | net=0.08 m | straightness=0.98 | direction=0.00 | state=STATIONARY | detections=45
[INFO] [1790301498.149000208] [sage_semantic_world_model]: Target 1 updated | association_distance=0.07 m | raw=(3.14, 3.59, 0.00) | smoothed=(3.14, 3.65, 0.00) | velocity=(0.04, -0.09, 0.00) m/s | speed=0.09 m/s | net=0.08 m | straightness=0.91 | direction=0.00 | state=STATIONARY | detections=46
[INFO] [1790301498.244390956] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.14, 3.59, 0.00) | smoothed=(3.14, 3.63, 0.00) | velocity=(0.02, -0.11, 0.00) m/s | speed=0.12 m/s | net=0.08 m | straightness=0.89 | direction=0.00 | state=STATIONARY | detections=47
[INFO] [1790301498.353658068] [sage_semantic_world_model]: Target 1 updated | association_distance=0.14 m | raw=(3.08, 3.51, 0.00) | smoothed=(3.12, 3.60, 0.00) | velocity=(-0.03, -0.17, 0.00) m/s | speed=0.17 m/s | net=0.10 m | straightness=0.82 | direction=0.00 | state=STATIONARY | detections=48
[INFO] [1790301498.447302810] [sage_semantic_world_model]: Target 1 updated | association_distance=0.10 m | raw=(3.08, 3.51, 0.00) | smoothed=(3.11, 3.58, 0.00) | velocity=(-0.06, -0.21, 0.00) m/s | speed=0.22 m/s | net=0.11 m | straightness=0.82 | direction=0.00 | state=STATIONARY | detections=49
[INFO] [1790301498.543672661] [sage_semantic_world_model]: Target 1 updated | association_distance=0.10 m | raw=(3.08, 3.48, 0.00) | smoothed=(3.11, 3.56, 0.00) | velocity=(-0.08, -0.23, 0.00) m/s | speed=0.24 m/s | net=0.13 m | straightness=0.88 | direction=0.00 | state=STATIONARY | detections=50
[INFO] [1790301498.650870653] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(3.08, 3.48, 0.00) | smoothed=(3.10, 3.54, 0.00) | velocity=(-0.09, -0.24, 0.00) m/s | speed=0.26 m/s | net=0.15 m | straightness=0.92 | direction=0.00 | state=STATIONARY | detections=51
[INFO] [1790301498.746110712] [sage_semantic_world_model]: Target 1 updated | association_distance=0.07 m | raw=(3.08, 3.47, 0.00) | smoothed=(3.10, 3.52, 0.00) | velocity=(-0.07, -0.21, 0.00) m/s | speed=0.22 m/s | net=0.16 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=52
[INFO] [1790301498.855061917] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.08, 3.47, 0.00) | smoothed=(3.09, 3.51, 0.00) | velocity=(-0.05, -0.18, 0.00) m/s | speed=0.18 m/s | net=0.17 m | straightness=0.98 | direction=0.00 | state=STATIONARY | detections=53
[INFO] [1790301498.949227950] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.08, 3.47, 0.00) | smoothed=(3.09, 3.50, 0.00) | velocity=(-0.04, -0.14, 0.00) m/s | speed=0.15 m/s | net=0.17 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=54
[INFO] [1790301499.056697816] [sage_semantic_world_model]: Target 1 updated | association_distance=0.71 m | raw=(2.63, 2.95, 0.00) | smoothed=(2.98, 3.36, 0.00) | velocity=(-0.30, -0.43, 0.00) m/s | speed=0.52 m/s | net=0.33 m | straightness=0.98 | direction=0.00 | state=STATIONARY | detections=55
[INFO] [1790301499.148689602] [sage_semantic_world_model]: Target 1 updated | association_distance=0.53 m | raw=(2.63, 2.95, 0.00) | smoothed=(2.89, 3.26, 0.00) | velocity=(-0.51, -0.64, 0.00) m/s | speed=0.82 m/s | net=0.45 m | straightness=0.98 | direction=0.00 | state=STATIONARY | detections=56
[INFO] [1790301499.256668892] [sage_semantic_world_model]: Target 1 updated | association_distance=0.15 m | raw=(2.82, 3.13, 0.00) | smoothed=(2.87, 3.23, 0.00) | velocity=(-0.56, -0.71, 0.00) m/s | speed=0.90 m/s | net=0.45 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=57
[INFO] [1790301499.344846272] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(2.82, 3.13, 0.00) | smoothed=(2.86, 3.20, 0.00) | velocity=(-0.58, -0.74, 0.00) m/s | speed=0.94 m/s | net=0.45 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=58
[INFO] [1790301499.455177996] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(2.82, 3.13, 0.00) | smoothed=(2.85, 3.19, 0.00) | velocity=(-0.33, -0.45, 0.00) m/s | speed=0.56 m/s | net=0.45 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=59
[INFO] [1790301499.549978152] [sage_semantic_world_model]: Target 1 updated | association_distance=0.29 m | raw=(3.06, 3.37, 0.00) | smoothed=(2.90, 3.23, 0.00) | velocity=(0.03, -0.07, 0.00) m/s | speed=0.07 m/s | net=0.36 m | straightness=0.71 | direction=0.00 | state=STATIONARY | detections=60
[INFO] [1790301499.658339513] [sage_semantic_world_model]: Target 1 updated | association_distance=0.21 m | raw=(3.06, 3.37, 0.00) | smoothed=(2.94, 3.27, 0.00) | velocity=(0.18, 0.10, 0.00) m/s | speed=0.20 m/s | net=0.30 m | straightness=0.54 | direction=0.00 | state=STATIONARY | detections=61
[INFO] [1790301499.745370182] [sage_semantic_world_model]: Target 1 updated | association_distance=0.15 m | raw=(3.06, 3.35, 0.00) | smoothed=(2.97, 3.29, 0.00) | velocity=(0.28, 0.21, 0.00) m/s | speed=0.36 m/s | net=0.25 m | straightness=0.44 | direction=0.00 | state=STATIONARY | detections=62
[INFO] [1790301499.845841734] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(3.06, 3.35, 0.00) | smoothed=(2.99, 3.31, 0.00) | velocity=(0.37, 0.30, 0.00) m/s | speed=0.47 m/s | net=0.22 m | straightness=0.37 | direction=0.00 | state=STATIONARY | detections=63
[INFO] [1790301499.948625736] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.02, 3.30, 0.00) | smoothed=(3.00, 3.30, 0.00) | velocity=(0.25, 0.18, 0.00) m/s | speed=0.30 m/s | net=0.06 m | straightness=0.15 | direction=0.00 | state=STATIONARY | detections=64
[INFO] [1790301500.047976169] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(3.02, 3.30, 0.00) | smoothed=(3.01, 3.30, 0.00) | velocity=(0.16, 0.08, 0.00) m/s | speed=0.18 m/s | net=0.12 m | straightness=0.43 | direction=0.00 | state=STATIONARY | detections=65
[INFO] [1790301500.156404526] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.05, 3.30, 0.00) | smoothed=(3.02, 3.30, 0.00) | velocity=(0.11, 0.03, 0.00) m/s | speed=0.11 m/s | net=0.16 m | straightness=0.62 | direction=0.00 | state=STATIONARY | detections=66
[INFO] [1790301500.244219750] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.05, 3.30, 0.00) | smoothed=(3.02, 3.30, 0.00) | velocity=(0.07, -0.01, 0.00) m/s | speed=0.07 m/s | net=0.19 m | straightness=0.80 | direction=0.00 | state=STATIONARY | detections=67
[INFO] [1790301500.345279665] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.06, 3.29, 0.00) | smoothed=(3.03, 3.30, 0.00) | velocity=(0.08, -0.01, 0.00) m/s | speed=0.08 m/s | net=0.22 m | straightness=0.95 | direction=0.00 | state=STATIONARY | detections=68
[INFO] [1790301500.447219089] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.06, 3.29, 0.00) | smoothed=(3.04, 3.30, 0.00) | velocity=(0.08, -0.01, 0.00) m/s | speed=0.08 m/s | net=0.15 m | straightness=0.93 | direction=0.00 | state=STATIONARY | detections=69
[INFO] [1790301500.545075960] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.05, 3.26, 0.00) | smoothed=(3.04, 3.29, 0.00) | velocity=(0.07, -0.03, 0.00) m/s | speed=0.07 m/s | net=0.10 m | straightness=0.86 | direction=0.00 | state=STATIONARY | detections=70
[INFO] [1790301500.651120752] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(3.05, 3.26, 0.00) | smoothed=(3.05, 3.28, 0.00) | velocity=(0.05, -0.05, 0.00) m/s | speed=0.07 m/s | net=0.07 m | straightness=0.82 | direction=0.00 | state=STATIONARY | detections=71
[INFO] [1790301500.746878055] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(3.05, 3.26, 0.00) | smoothed=(3.05, 3.28, 0.00) | velocity=(0.04, -0.06, 0.00) m/s | speed=0.07 m/s | net=0.06 m | straightness=0.88 | direction=0.00 | state=STATIONARY | detections=72
[INFO] [1790301500.844295271] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(3.05, 3.23, 0.00) | smoothed=(3.05, 3.27, 0.00) | velocity=(0.02, -0.08, 0.00) m/s | speed=0.09 m/s | net=0.06 m | straightness=0.83 | direction=0.00 | state=STATIONARY | detections=73
[INFO] [1790301500.947409924] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(3.05, 3.23, 0.00) | smoothed=(3.05, 3.26, 0.00) | velocity=(0.02, -0.08, 0.00) m/s | speed=0.08 m/s | net=0.06 m | straightness=0.81 | direction=0.00 | state=STATIONARY | detections=74
[INFO] [1790301501.048928182] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(3.09, 3.22, 0.00) | smoothed=(3.06, 3.25, 0.00) | velocity=(0.03, -0.09, 0.00) m/s | speed=0.09 m/s | net=0.07 m | straightness=0.86 | direction=0.00 | state=STATIONARY | detections=75
