[INFO] [1790290127.481929474] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790290127.482974010] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790290127.483665479] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790290127.484347125] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790290127.485048798] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790290149.758716249] [sage_target_localizer]: Person 3D | pixel=(736.9,729.1) | position=(-0.73,4.01,0.00) | range=3.95 m
[INFO] [1790290149.859543613] [sage_target_localizer]: Person 3D | pixel=(736.9,729.1) | position=(-0.73,4.01,0.00) | range=3.95 m
[INFO] [1790290149.961501395] [sage_target_localizer]: Person 3D | pixel=(737.5,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.057363248] [sage_target_localizer]: Person 3D | pixel=(737.5,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.160339631] [sage_target_localizer]: Person 3D | pixel=(737.5,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.258628179] [sage_target_localizer]: Person 3D | pixel=(736.6,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.357742752] [sage_target_localizer]: Person 3D | pixel=(736.6,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.458064770] [sage_target_localizer]: Person 3D | pixel=(736.6,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.557560297] [sage_target_localizer]: Person 3D | pixel=(736.6,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.667287523] [sage_target_localizer]: Person 3D | pixel=(736.6,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.758714846] [sage_target_localizer]: Person 3D | pixel=(736.6,729.1) | position=(-0.74,4.01,0.00) | range=3.96 m
[INFO] [1790290150.857725010] [sage_target_localizer]: Person 3D | pixel=(671.0,741.9) | position=(-0.26,3.84,0.00) | range=3.72 m
