[INFO] [1790221260.296674967] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790221260.298289774] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790221260.299742013] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790221260.302700345] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790221260.303528724] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790221260.306724262] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790221260.307811109] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790221269.569042940] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.28, 5.07, 0.00) | state=STATIONARY
[INFO] [1790221273.471730550] [sage_semantic_world_model]: Target 2 updated | association_distance=0.32 m | raw=(-8.01, 9.32, 0.00) | smoothed=(-8.16, 9.50, 0.00) | velocity=(0.16, -0.17, 0.00) m/s | speed=0.23 m/s | net=0.28 m | straightness=0.97 | direction=0.00 | state=STATIONARY | detections=23
[INFO] [1790221273.569370584] [sage_semantic_world_model]: Target 2 updated | association_distance=0.24 m | raw=(-8.01, 9.32, 0.00) | smoothed=(-8.12, 9.46, 0.00) | velocity=(0.28, -0.32, 0.00) m/s | speed=0.43 m/s | net=0.30 m | straightness=0.97 | direction=0.00 | state=STATIONARY | detections=24
[INFO] [1790221273.674337629] [sage_semantic_world_model]: Target 2 updated | association_distance=0.15 m | raw=(-8.04, 9.33, 0.00) | smoothed=(-8.10, 9.43, 0.00) | velocity=(0.30, -0.37, 0.00) m/s | speed=0.47 m/s | net=0.31 m | straightness=0.97 | direction=0.00 | state=STATIONARY | detections=25
[INFO] [1790221273.768578112] [sage_semantic_world_model]: Target 2 updated | association_distance=0.11 m | raw=(-8.04, 9.33, 0.00) | smoothed=(-8.09, 9.40, 0.00) | velocity=(0.31, -0.40, 0.00) m/s | speed=0.51 m/s | net=0.31 m | straightness=0.98 | direction=0.00 | state=STATIONARY | detections=26
[INFO] [1790221273.876286406] [sage_semantic_world_model]: Target 2 updated | association_distance=0.22 m | raw=(-7.96, 9.23, 0.00) | smoothed=(-8.05, 9.36, 0.00) | velocity=(0.26, -0.36, 0.00) m/s | speed=0.44 m/s | net=0.33 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=27
[INFO] [1790221273.971994705] [sage_semantic_world_model]: Target 2 updated | association_distance=0.16 m | raw=(-7.96, 9.23, 0.00) | smoothed=(-8.03, 9.33, 0.00) | velocity=(0.23, -0.32, 0.00) m/s | speed=0.40 m/s | net=0.36 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=28
[INFO] [1790221274.078422036] [sage_semantic_world_model]: Target 2 updated | association_distance=0.12 m | raw=(-7.96, 9.23, 0.00) | smoothed=(-8.01, 9.30, 0.00) | velocity=(0.22, -0.31, 0.00) m/s | speed=0.38 m/s | net=0.36 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=29
[INFO] [1790221274.183508905] [sage_semantic_world_model]: Target 2 updated | association_distance=0.09 m | raw=(-8.09, 9.35, 0.00) | smoothed=(-8.03, 9.31, 0.00) | velocity=(0.13, -0.22, 0.00) m/s | speed=0.26 m/s | net=0.32 m | straightness=0.88 | direction=0.00 | state=STATIONARY | detections=30
[INFO] [1790221274.270201307] [sage_semantic_world_model]: Target 2 updated | association_distance=0.07 m | raw=(-8.09, 9.35, 0.00) | smoothed=(-8.04, 9.32, 0.00) | velocity=(0.02, -0.09, 0.00) m/s | speed=0.09 m/s | net=0.29 m | straightness=0.79 | direction=0.00 | state=STATIONARY | detections=31
[INFO] [1790221274.372815365] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-8.09, 9.35, 0.00) | smoothed=(-8.06, 9.33, 0.00) | velocity=(-0.06, 0.01, 0.00) m/s | speed=0.06 m/s | net=0.20 m | straightness=0.66 | direction=0.00 | state=STATIONARY | detections=32
[INFO] [1790221274.477613927] [sage_semantic_world_model]: Target 2 updated | association_distance=0.07 m | raw=(-8.11, 9.37, 0.00) | smoothed=(-8.07, 9.34, 0.00) | velocity=(-0.14, 0.10, 0.00) m/s | speed=0.17 m/s | net=0.13 m | straightness=0.49 | direction=0.00 | state=STATIONARY | detections=33
[INFO] [1790221274.571008925] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-8.11, 9.37, 0.00) | smoothed=(-8.08, 9.35, 0.00) | velocity=(-0.12, 0.08, 0.00) m/s | speed=0.15 m/s | net=0.08 m | straightness=0.35 | direction=0.00 | state=STATIONARY | detections=34
[INFO] [1790221274.682479072] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(-0.30, 4.28, 0.00) | smoothed=(-0.30, 4.34, 0.00) | velocity=(-0.01, -0.02, 0.00) m/s | speed=0.02 m/s | net=0.73 m | straightness=0.76 | direction=0.78 | state=MOVING | detections=18
[INFO] [1790221274.771518600] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.30, 4.28, 0.00) | smoothed=(-0.30, 4.33, 0.00) | velocity=(-0.01, 0.03, 0.00) m/s | speed=0.03 m/s | net=0.62 m | straightness=0.73 | direction=0.78 | state=MOVING | detections=19
[INFO] [1790221274.871311546] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.30, 4.28, 0.00) | smoothed=(-0.30, 4.31, 0.00) | velocity=(-0.01, -0.00, 0.00) m/s | speed=0.01 m/s | net=0.54 m | straightness=0.70 | direction=0.78 | state=MOVING | detections=20
[INFO] [1790221274.976262353] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.31, 4.28, 0.00) | smoothed=(-0.30, 4.30, 0.00) | velocity=(-0.00, -0.03, 0.00) m/s | speed=0.03 m/s | net=0.48 m | straightness=0.68 | direction=0.00 | state=MOVING | detections=21
[INFO] [1790221275.074288915] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.31, 4.28, 0.00) | smoothed=(-0.31, 4.30, 0.00) | velocity=(-0.01, -0.11, 0.00) m/s | speed=0.11 m/s | net=0.26 m | straightness=0.53 | direction=0.00 | state=MOVING | detections=22
