t,viewpoint,conf,bbox_frac,px,py,img_x,img_y
1790178114.5172994,1,0.491,0.0083,929.5,640.9,0.726,0.668
1790178116.4319391,1,0.469,0.0185,215.8,652.3,0.169,0.679
1790178117.4819577,2,0.781,0.0258,108.5,679.3,0.085,0.708
1790178118.6406152,2,0.693,0.0115,549.6,576.7,0.429,0.601
1790178119.7197247,2,0.734,0.0211,303.3,341.7,0.237,0.356
1790178126.870253,4,0.611,0.0568,991.8,828.5,0.775,0.863
1790178127.9787931,4,0.851,0.0332,733.7,745.6,0.573,0.777
1790178129.0564904,4,0.791,0.0248,1069.3,605.2,0.835,0.63
1790178130.3521655,4,0.819,0.023,1111.5,626.3,0.868,0.652
1790178131.552593,4,0.812,0.0143,1005.4,642.4,0.785,0.669
1790178132.6568189,4,0.811,0.0167,1006.5,645.7,0.786,0.673
1790178133.8352442,4,0.793,0.02,986.3,653.6,0.771,0.681
1790178135.293895,4,0.339,0.0178,960.9,663.8,0.751,0.691
1790178136.567644,1,0.775,0.0177,950.2,670.7,0.742,0.699
1790178137.8906283,1,0.78,0.0243,263.2,671.7,0.206,0.7
1790178139.1691477,1,0.799,0.0217,190.0,679.4,0.148,0.708
1790178140.5019922,1,0.57,0.0141,548.4,637.1,0.428,0.664
1790178141.6123173,2,0.682,0.0211,483.8,664.5,0.378,0.692
1790178144.8658977,3,0.798,0.0307,57.6,791.7,0.045,0.825
1790178149.625088,3,0.351,0.0208,1176.8,895.7,0.919,0.933
1790178154.5697124,4,0.597,0.03,955.9,883.3,0.747,0.92
1790178155.6045034,4,0.798,0.0218,692.6,699.7,0.541,0.729
1790178156.7097058,4,0.732,0.0209,980.9,564.8,0.766,0.588
1790178157.8857462,4,0.706,0.0139,1016.3,589.9,0.794,0.614
1790178159.1055546,4,0.774,0.011,938.7,616.7,0.733,0.642
1790178160.278117,4,0.763,0.013,951.8,633.4,0.744,0.66
1790178161.4893413,1,0.465,0.0083,937.6,632.3,0.733,0.659
