[WARN] [1790213547.263788834] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790213547.267734063] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790213547.268501874] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790213547.269309454] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790213547.270141883] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790213547.271058436] [sage_target_localizer]: Waiting for camera/PX4 data...
[WARN] [1790213556.073875488] [sage_target_localizer]: 3D localization skipped: UAV tilt 8.3 deg > 8.0
[INFO] [1790213567.974825235] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213568.069479814] [sage_target_localizer]: Person 3D | pixel=(730.3,465.3) | position=(-7.42,8.63,0.00) | range=12.25 m
[INFO] [1790213568.170037456] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.270498657] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.376294413] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.469729741] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.568670179] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.668355655] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.773911735] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.873231901] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213568.973020475] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.068264330] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.171362833] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.275853016] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.369847447] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.475270347] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.576049574] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.670899291] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.772827530] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.876273662] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213569.973528959] [sage_target_localizer]: Person 3D | pixel=(336.2,537.7) | position=(-0.14,4.76,0.00) | range=5.54 m
[INFO] [1790213570.080819478] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.171196930] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.270915928] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.368541118] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.471649714] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.568722038] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.677949437] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.770540663] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
[INFO] [1790213570.868610268] [sage_target_localizer]: Person 3D | pixel=(696.7,497.5) | position=(-7.26,8.42,0.00) | range=11.56 m
